shop_id,shop_publication_id,shop_name,shop_address,shop_hours,shop_tel,shop_menu,shop_image_url
29,C000002688,몽우,서울 광진구 면목로7길 13 1층,월~금18:00-02:00(일요일18:00-01:00,070-8233-0321,"홈메이드 달콤 닭갈비 스튜, 스페니쉬 버터갈릭새우, 마늘향이 가득한 한국식 감바스, 청양고추 송송 오뎅 나베, 통 골뱅이를 넣은 골뱅이무침, 파스타보다 새우 한주먹 라볶이, 매콤달콤한 특수부위 고추장볶음",https://thesool.com/common/imageView.do?targetId=D000009800
30,C000000316,묵전,서울 강남구 언주로168길 22,월~토 11:30 ~ 02:00일요일 11:30 ~ 23:00공휴일 11:30 ~ 01:00,02-548-1461,"시골장터모둠전, 모듬해물파전",https://thesool.com/common/imageView.do?targetId=D000001261
31,C000002896,문가네양조장,전남 무안군 삼향읍 대죽동로 40 에드가9차오피스텔 1층,월~토 18:00~01:00 (매주 일요일 정기휴무),0507-1354-5024,"꽃도리탕, 한통다골뱅이무침, 스위스감자전, 쌈육회, 안동식육전, 우삼겹배추전",https://thesool.com/common/imageView.do?targetId=D000010559
32,C000000307,물뛴다,서울 서대문구 경기대로 43,평일 17:00-24:00,02-392-4200,"김치 생 두부, 명란 두부 젓국,몬트락 보쌈, 소고기 수육전골",https://thesool.com/common/imageView.do?targetId=D000001207
33,C000002544,미주류,서울 광진구 면목로31 (1층),"월, 화, 수 16:00-24:00 금, 토 16:00-새벽 01:00 (매주 일요일 정기휴무)",0507-1301-4864,"한돈 보쌈, 한우 육회, 치즈 감자전, 등심튀김, 메밀전병, 해물파전, 감태밥",https://thesool.com/common/imageView.do?targetId=D000009260
34,C000002578,박가네 빈대떡,서울 종로구 종로32길 7,매일: 08:00 - 22:00,02-2264-0847,"박가네 삼합, 맷돌 빈대떡,고기 빈대떡, 해물 빈대떡, 마약김밥(2인), 육회탕탕이, 육회사시미, 산낙지탕탕이, 육회, 간, 천엽, 육회냉면, 모둠전 특, 모둠전 대, 해물파전, 고기완자 2장",https://thesool.com/common/imageView.do?targetId=D000009392
35,C000002597,반구절점,전북 전주시 완산구 전라감영4길 16-7 1층,월-금 18:00-02:00 일 17:00-24:00,0507-1369-8996,"순두부찌개, 김치 치즈 전 스틱, 불고기메밀 쌈, 육회 타르타르, 모둠어묵탕, 베이컨 감자전, 부추 새우 전 스틱, 맥적구이, 떡갈비 지짐, 토마토 범벅. 팽이버섯 튀김, 어란 슬라이스, 명란구이, 수제약과, 들깨라면",https://thesool.com/common/imageView.do?targetId=D000009464
36,C000000286,반기다,서울 종로구 익선동 166-52,매일 11:30 ~ 22:00,02-6408-6511,"퓨전 한식, 막걸리 칵테일 등",https://thesool.com/common/imageView.do?targetId=D000001136
37,C000003093,반디,서울 종로구 율곡로8길 45 1층,월~금 17:00-22:50 / 토~일 15:00-22:50,0507-1412-9766,"반디 닭두부전골, 육회 타르타르 감태롤, 저온 숙성 냉제육, 유린기, 치즈감자전",https://thesool.com/common/imageView.do?targetId=D000011293
38,C000002895,방자전,경기 화성시 동탄중심상가2길 29 세림프라자 104호,월~토 17:00~24:00 (매주 일요일 정기휴무),031-613-2752,"모듬전, 해물파전, 육전, 골뱅이 명태초무침, 두부김치, 가마보꼬 어묵탕",https://thesool.com/common/imageView.do?targetId=D000010553
39,C000000342,별주막,경기 과천시 별양상가 1로 37,영업시간 평일 15:00 ~ 01:00토/일요일 14:00 ~ 01:00,02-504-7016,"막걸리, 프리미엄 막걸리",https://thesool.com/common/imageView.do?targetId=D000001417
40,C000000343,부부술집 0325,경기 고양시 일산동구 무궁화로93번길 29,매일 15:00 ~ 00:00,070-8272-3108,"오징어볶음, 해물파전 등",https://thesool.com/common/imageView.do?targetId=D000001423
41,C000002645,산솔,서울 용산구 신흥로 47,"월, 금, 수, 목 17:00-24:00 토,일 16:00-24:00 (매주 화요일 정기휴무)",0507-1352-2255,"새우구이와 고수, 닭냉채, 고등어 초회, 청어 된장무침, 스지수육, 육회, 고추장찌개, 해물파전, 두부김치",https://thesool.com/common/imageView.do?targetId=D000009639
42,C000003026,산울림1992,서울 마포구 서강로 9길 60,화~목 17:00-24:00 / 금~토 17:00-01:00 / 일 16:00-24:00 (매주 월 정기휴무),0507-1417-0352,"육전, 치즈 감자전, 곱창전골, 모시조개백합탕, 매운 쭈꾸미볶음",https://thesool.com/common/imageView.do?targetId=D000001357
43,C000000306,산체스 막걸리,서울 종로구 윤보선길 26,매일 18:00 ~ 23:00,02-735-0723,"미국감자전, 바지락술찜",https://thesool.com/common/imageView.do?targetId=D000001201
44,C000000344,삼강주막마을,경북 예천군 풍양면 삼강리길 91,매일 09:00 ~ 18:00,054-655-3132,"막걸리, 두부, 도토리묵",https://thesool.com/common/imageView.do?targetId=D000001429
45,C000002447,삼씨오화,서울 마포구 마포대로4가길 41,"매일 11:30 - 13:30 (주말 정기휴무, 내부 사정으로 인하여 점심 영업중)",02-715-3355,"칼만둣국, 봄나물전, 목살구이에 곁들여 먹는 홍어장과 오이지 삼합, 삼씨오화 군만두, 참가자미 구이, 갑오징어숙회, 만두전골",https://thesool.com/common/imageView.do?targetId=D000008895
46,C000003011,새늘,서울 중구 충무로 24 지하1층 a112호,월~토 18:00-02:00 (매주 일 정기휴무) / 00:30 라스트오더,0507-1321-7986,"토마토 해산물 수제비, 삼겹전, 양반갈비, 연저육(된장보쌈)",https://thesool.com/common/imageView.do?targetId=D000010992
47,C000000333,성북동 막걸리,서울 성북구 동소문로2길 25,매일 15:00 ~ 02:00,02-747-6165,"파전, 막걸리",https://thesool.com/common/imageView.do?targetId=D000001363
48,C000000335,술곳간,부산 수영구 무학로21번길 98 1층,17:00 - 03:00 / 월요일 휴무,0507-1417-0784,"막걸리, 약청주, 증류소주, 청어알쌈, 돼지갈비구이",https://thesool.com/common/imageView.do?targetId=D000001375
49,C000002989,술마켓 BAR,서울 광진구 천호대로 515 지하 1층,월~토 12:00~24:00 (매주 일요일 정기휴무),0507-1425-8844,BYF(Bring Your Food) 매장,https://thesool.com/common/imageView.do?targetId=D000010909
50,C000002273,술토리,인천광역시 연수구 경원대로483번길 18 101호,매일 17:00-22:00(일요일 휴무),032-815-9713,"뢰스티, 베이컨치즈전",https://thesool.com/common/imageView.do?targetId=D000008253
51,C000002945,신기루빠,서울 서대문구 연희로15길 27 2층 신기루빠,화~목 11:30~22:30 (21:30 라스트오더) / 금~토 11:30~23:30 (22:30 라스트오더) (매주 월요일 정기휴무),0507-1328-4741,"아롱사태 수육, 고기소보로덮밥(런치한정), 갈치속젓 차돌양지 파스타, 하동들깨 크림 감자수제비(트러플오일), 항정살 미소 조림과 매쉬포테이토, 신기루 가라아케, 페페로니 치즈 감자채전, 신기루마라전골",https://thesool.com/common/imageView.do?targetId=D000010757
52,C000002868,안주일체,울산 남구 왕생로46번길 15 1층,매일 17:00~06:00 (05:00 라스트오더),0507-1315-0432,"통통 새우전, 추억의 감자전, 땡초 부추전, 오징어 김치전",https://thesool.com/common/imageView.do?targetId=D000010441
53,C000002144,연남고집,서울특별시 마포구 동교로38길 7,"평일 17:00-22:00, 주말 16:00-22:00, 매주 화요일 휴무",02-6080-2457,"오겹살 수육, 가리비백합탕, 전라도식육전",https://thesool.com/common/imageView.do?targetId=D000007779
54,C000000339,왕탁,(본점)대구 남구 봉덕동 712-5(2호점) 대구 중구 삼덕동 149-71,(본 점) 17:00 ~ 2:00 / 일요일 휴업(직영2호점) 17:00 ~ 2:00 / 연중무휴,0507-1418-2133,"수제두부짜글이, 육납무",https://thesool.com/common/imageView.do?targetId=D000001399
55,C000002765,우리술당당,서울 성동구 왕십리로5길 9-20 지하1층,화~일 11:30-22:30(매주 월요일 정기휴무),0507-1336-6874,"피나콜라당, 성수노을, 성수하늘, 성수반달, 막걸리빚기클래스, 이화주빚기클래스",https://thesool.com/common/imageView.do?targetId=D000010055
56,C000002524,우리술집다람쥐,서울 종로구 서순라길 101(1층),평일 17:00-23:30 주말 16:00-23:30,070-4258-8880,"고기완자전, 제주 피순대구이, 반건조 생선구이, 황태 어묵탕, 다람쥐 순두부 찌개, 코코넛 닭강정, 토하젓 파스타, 다람쥐 삼합, 도가니찜, 멜팅 브리, 후식 아이스크림",https://thesool.com/common/imageView.do?targetId=D000009184
57,C000003012,우리술한잔블랙,서울 영등포구 여의대방로65길 13 유창빌딩 3층,"월~금 11:30-22:00 (매주  토,일 정기휴무) / 15:00-17:00 브레이크타임 / 14:00, 21:00 라스트오더",02-761-0901,"진갈비 양념구이, 한돈 맥적구이, 경상도식 소고기 무국 반상(점심메뉴), 해신탕 반상",https://thesool.com/common/imageView.do?targetId=D000010998
58,C000003015,우리예술,서울 중구 장충단로7길 10 2층,월~목 17:00-23:00 / 금 17:00-24:00 / 토 15:00-24:00 (매주 일 정기휴무),0507-1362-5091,"마라 등갈비, 항정 미나리, 상하이 파스타, 고등어 볶음밥",https://thesool.com/common/imageView.do?targetId=D000011010
59,C000002395,을해,경기 남양주시 도농로중촌2길 8-16,매일 17:00-02:00 (일요일 휴무),0507-1342-1083,"우설수육, 돼지꼬리찝, 유린기, 베이컨 크림 파스타",https://thesool.com/common/imageView.do?targetId=D000008706
60,C000002666,이끔,서울 마포구 동교로46길 24-2 2층 이끔,월~금17:00~24:00 토15:00~01:00 일15:00-24:00,0507-1318-0918,"1++한우육회와 김부각, 새우 샐러리 냉채, 새우장, 한돈안심 직화구이, 한돈 육전, 헐크롤, 스카치에그, 트러플 리조또, 두부구이, 맑은 바지락국, 창란젓덮밥, 파이황과",https://thesool.com/common/imageView.do?targetId=D000009714
61,C000000330,이박사 신동막걸리,서울 마포구 토정로 263,매일 12:00 ~ 23:30일요일 휴무,02-702-7717,"막걸리, 굴조개찜, 한우등심구이",https://thesool.com/common/imageView.do?targetId=D000001345
62,C000000303,익선반주,서울 종로구 돈화문로11다길 31,매일 11:30 ~ 22:30주말 11:30 ~ 22:30,02-529-3979,"맵계, 문어 카르파치오, 불고기지짐이",https://thesool.com/common/imageView.do?targetId=D000001183
63,C000000345,인동주마을,전남 목포시 복산길12번길 5,매일 10:00 ~ 22:00,061-284-4068,"홍어삼합, 간장꽃게장",https://thesool.com/common/imageView.do?targetId=D000001435
64,C000002202,일호선,경기 수원시 영통구 중부대로271번길 19-6 1층 일호선,매일 17:00 - 22:00 매주 일요일 휴무,031-216-7892,"한우육회, 닭묵은지찜",https://thesool.com/common/imageView.do?targetId=D000007985
65,C000000321,작,서울 강남구 논현로95길 14,"매일 18:00~2:00 / 일요일, 공휴일 휴무",02-501-2342,우리술 칵테일,https://thesool.com/common/imageView.do?targetId=D000001291
66,C000002798,작교,대전 유성구 농대로2번길 7-11,월~일 17:00-02:00,0507-1479-4260,"고추장찌개, 수육&닭발 편육, 해산물술찜, 미나리쭈꾸미볶음, 들기름낙지젓카펠리니, 참외샐러드",https://thesool.com/common/imageView.do?targetId=D000010168
67,C000002287,작정,서울 강남구 논현로163길 13-4 지하1층,"매일 18:00~02:00(거리두기 기간 14:00~22:00, 일요일 휴무)",0507-1446-8123,맡김차림(8코스)예약필수,https://thesool.com/common/imageView.do?targetId=D000008309
68,C000002436,잔 3.0,경기 화성시 동탄하나1길 61,매일 17:00 - 새벽 01:30 (일요일 휴무),070-8777-3839,"육회소면, 닭강정, 들기름 연어 묵은지 무침, 나가사키 어묵탕, 불 맛 삼겹 볶음",https://thesool.com/common/imageView.do?targetId=D000008854
69,C000002331,정갈,경기도 고양시 일산동구 일산로 30 효성레제스오피스텔 111호,매일 17:00~01:00(월요일 휴무),0507-1346-0256,"돼지갈비구이, 항정 삼합, 꽃 육회, 바지락 술찜",https://thesool.com/common/imageView.do?targetId=D000008477
70,C000002784,정작가의 막걸리집,서울 동작구 동작대로 33가길 8,월~금 17:00-01:00 / 토: 16:00-01:00 (매주 일요일 정기휴무),0507-1318-2932,"순대크림스튜, 수소문",https://thesool.com/common/imageView.do?targetId=D000010122
71,C000002563,종부네,서울 동작구 동작대로27가길 37 2층,화~목: 17:00-01:00 금17:00-01:00 토: 14:00-01:00 일요일16:00-23:00 (월요일 휴무),010-4305-1805,"육회, 통골뱅이파무침, 오뱅새세트, 마약옥수수전, 모둠전, 치즈감자채전",https://thesool.com/common/imageView.do?targetId=D000009335
72,C000002380,주052,서울 성동구 고산자로14길 26,"매일 16:00-21:00(라스트오더 20:00, 월요일 휴무)",02-2281-0343,"언양불고기, 장어국수, 편육샐러드, 052 누룩육회",https://thesool.com/common/imageView.do?targetId=D000008661
73,C000000325,주막,서울 강북구 월계로7나길 30-3,매일 15:00 ~ 01:30,070-7607-1680,"그대로 감자전, 해물지지미",https://thesool.com/common/imageView.do?targetId=D000001315
74,C000002951,주인,충남 천안시 서북구 불당26로 50 근린생활시설 8동 1층 G109호,"화~토 17:00~02:00 (00:30 라스트오더) / (매주 일, 월 정기휴무)",0507-1325-9135,"주인맘대로, 방어회한접시(시즌메뉴), 구룡포과메기(시즌메뉴), 석화회한접시(시즌메뉴), 제주갈치튀김(시즌메뉴), 한우스지무침, 백골뱅이무침, 한우불고기냉채",https://thesool.com/common/imageView.do?targetId=D000010787
75,C000000336,주화담,부산 동래구 온천천로 155,평일 17:30 ~ 2:00 주말 17:30 ~ 3:00,010-5764-5363,주화담떡갈비 얼큰새우탕 육전+새우부추전,https://thesool.com/common/imageView.do?targetId=D000001381
76,C000002946,줜막걸리아노,서울 마포구 동교로 248-2 2층,월~일 16:00~02:00,0507-1347-8843,"닭볶음탕, 명란감자전, 모듬전, 한우 내장 전골, 도가니볶음, 미나리해물전, 두부김치",https://thesool.com/common/imageView.do?targetId=D000010763
77,C000002675,진여사댁,서울 서초구 강남대로34길 38 2층 진여사댁,매일 16:00 - 24:00 (23:00 라스트오더),010-2674-9249,"순살안동찜닭小, 유린기小, 똥집튀김, 매콤낙지칼국수, 골뱅이쫄면, 콘치즈 닭갈비小",https://thesool.com/common/imageView.do?targetId=D000009749
78,C000002352,천춘일 식당,"부산 동구 자성로75번길 29 그린빌리지103호, 천춘일 식당",매일 06:00-00:00,010-3059-9713,"숯불돼지 갈비구이, 한우암소육회, 녹두 빈대떡",https://thesool.com/common/imageView.do?targetId=D000008560
79,C000000317,청담만옥,서울 강남구 언주로152길 13,월~토 11:30 ~ 01:00 (일요일 휴무),02-6673-8888,"성게알알알, 청담한상",https://thesool.com/common/imageView.do?targetId=D000001267
80,C000002533,청주한씨,서울특별시 성동구 연무장길 41-22 지하 1층,평일 17:00-22:00 토요일 17:00-21:30(매주 일요일 휴무),070-4086-0933,"청주한씨 술상, 열기구이, 삼치구이, 브리치즈구이, 국물떡볶이, 마른안주",https://thesool.com/common/imageView.do?targetId=D000009220
81,C000002866,추랑,서울 성북구 보문로36길 20 1층,"수~목 17:30~01:00 / 금~일 17:00~01:00 (00:00 라스트오더 / 매주 월,화 정기휴무)",0507-1432-2036,"가자미 해물파전, 육전과 어리굴젓, 바지락 술찜, 알볶음, 빠다새우볶음, 아구살가지깐풍, 청어알두부김쌈, 김텍;ㅁ빕&가자미식혜",https://thesool.com/common/imageView.do?targetId=D000010429
82,C000002949,킹리,서울 광진구 아차산로57길 10-1 1층,일~목 18:00~24:00 / 금~토 18:00~01:00 (매주 월요일 정기휴무),0507-1424-7869,"육회 삼합, 아롱사태 수육, 스지수육 어묵전골, 레드락 생맥주, 육회비빔국스, 중화풍 닭목살볶음, 진저하이볼",https://thesool.com/common/imageView.do?targetId=D000010775
83,C000002728,페페,서울 서초구 언남길 64 덕성빌딩 1층,월~토 17:00-24:00 (매주 일요일 정기휴무),0507-1319-1484,"카치오에 페페, 알배추 구이, 페페 파스타, 제육 리가토니 그라탕, 돼지 앞다리살  토마토 스튜, 표고 청양 크림 파스타, 페페  감자전, 초리조 부추전, 새우와 참나물 그린 파스타, 감바스 알아히요, 트러플감자튀김, 치즈 플레이트",https://thesool.com/common/imageView.do?targetId=D000009944
84,C000003162,한,경기 수원시 장안구 서부로2123번길 34-7 1층 상가,월~토 17:00~01:00 (00:00 라스트오더) / (매주 일 정기휴무),010-9750-7628,"어복쟁반, 천겹살수육, 한우고추장육회, 통오징어해물탕, 트러플마요콰트로치즈감자전, 부라따치즈·파스타 전, 신선로 골뱅이쫄면, 간장마늘치킨",https://thesool.com/common/imageView.do?targetId=D000011528
85,C000000310,한국술집 안씨막걸리,서울 용산구 이태원동 257-4,매일 18:00 ~ 01:00,010-9965-5112,"지리산하몽, 막걸리 ,약주 등",https://thesool.com/common/imageView.do?targetId=D000001225
86,C000002294,해달별담,"전남 여수시 웅천남4로 17, 2층 207호",매일 18:00~01:00(월요일 휴무),010-2297-4160,"방풍 새우전, 육전",https://thesool.com/common/imageView.do?targetId=D000008335
87,C000000309,해방촌 윤주당,서울 용산구 신흥로 81-1,"월, 수, 목, 일 18:00 ~ 24:00금, 토 18:00 ~ 01:00화요일 휴무",010-7297-5765,"외할머니 호박찌개, 치즈단감자전, 제주막창순대",https://thesool.com/common/imageView.do?targetId=D000001219
88,C000003033,호선생전,서울 종로구 종로32길 15 1층,매일 12:00-23:00,0507-1342-2207,"육전왕김말이, 광장육회1905, 볼카츠치즈빈대떡, 호랑이육전, 호빔면, 고성 자연산 참문어숙회",https://thesool.com/common/imageView.do?targetId=D000011081
